Transcriptomics_id,Trough,Frequency,Peak,Threshold,Ratio,Vrest,Cell Type,Subtype
SM-GE4Y5_S125_E1-50,-49.89999771118164,0.2191489478957843,33.96875,-30.88125228881836,1.5934775115954518,-68.24292500813802,Sst interneuron,Sst Tac1 Tacr3
SM-GE8ZX_S150_E1-50,-52.3437538146973,0.128299488976208,15.5625009536743,-39.09375,3.79929190768589,-82.3870162963867,Lamp5 interneuron,Lamp5 Lsp1
SM-GE4WT_S162_E1-50,-52.5687522888184,0.074999999046324,28.3187522888184,-32.8875045776367,1.84912115607559,-69.6015823364258,Sst interneuron,Sst Esm1
SM-GE8WI_S184_E1-50,-49.6187515258789,1.80280365851532,27.5562515258789,-29.0000019073486,1.53023982013754,-49.9222774505615,Pvalb interneuron,Pvalb Gabrg1
SM-GE652_S154_E1-50,-42.6250038146973,0.347142859805356,11.3750009536743,-27.71875,3.18790322990814,-63.5783796310425,Lamp5 interneuron,Lamp5 Plch2 Dock5
SM-GE91I_S025_E1-50,-56.9687538146973,0.362500038146976,34.5625038146973,-47.46875,2.7070226614725,-69.9811066847581,Vip interneuron,Vip Lect1 Oxtr
SM-GE4QQ_S172_E1-50,-60.0375022888184,0.467647103834297,26.3187503814697,-34.1687545776367,1.46321660247551,-75.7193935939244,Pvalb interneuron,Pvalb Reln Itm2a
SM-GE95A_S011_E1-50,-48.90625,0.182701418024892,29.5000019073486,-28.3437519073486,3.24538638402599,-70.7039975253018,Lamp5 interneuron,Lamp5 Lsp1
SM-GBMG3_S032_E1-50,-47.0687522888184,0.099999988555909,35.1625022888184,-30.4187507629394,1.98547763102528,-71.1611839294433,Sst interneuron,Sst Rxfp1 Prdm8
SM-GE4Q8_S046_E1-50,-51.7437477111816,0.625,13.6750001907349,-31.5312519073486,1.62313860988288,-72.3680702209473,Pvalb interneuron,Pvalb Reln Itm2a
SM-GE94J_S010_E1-50,-33.3125038146973,0.038571428571429,61.9062538146973,-18.21875,2.30669329152154,-60.5872203826904,Sncg interneuron,Sncg Vip Nptx2
SM-GE4Q2_S128_E1-50,-63.09375,0.4085106223183881,21.706249237060547,-45.35625076293945,1.6860776212020847,-76.3540267944336,Sst interneuron,Sst Mme Fam114a1
SM-GE67D_S091_E1-50,-64.75,0.897142830657958,14.9375,-46.09375,1.49916128361103,-63.0930082533095,Pvalb interneuron,Pvalb Gpr149 Islr
SM-GE94H_S125_E1-50,-55.59375,0.942241379310345,19.03125,-29.000001907348636,1.276408224246809,-75.54693010118272,Pvalb interneuron,Pvalb Reln Tac1
SM-GE5TS_S135_E1-50,-56.2500038146973,0.204999997963224,35.5312538146973,-43.0312538146973,1.9540018453198,-64.1188034057617,Sst interneuron,Sst Hpse Sema3c
SM-GE4QQ_S137_E1-50,-50.9812545776367,0.39051721935748,21.6250019073486,-32.4124984741211,3.1762479577731,-71.2047396573153,Lamp5 interneuron,Lamp5 Plch2 Dock5
SM-GE92Y_S055_E1-50,-66.09375,1.88863636363636,23.65625,-42.125,1.23086371711829,-66.5192999406294,Pvalb interneuron,Pvalb Gabrg1
SM-GE4S3_S123_E1-50,-58.7312545776367,0.652586206896552,28.5749988555908,-41.1812515258789,1.31310211692506,-71.5005583329634,Pvalb interneuron,Pvalb Sema3e Kank4
SM-GE5OW_S136_E1-50,-47.8624992370605,0.275,32.9562492370606,-36.0499992370605,2.76589073929259,-72.8632111982866,Sst interneuron,Sst Crhr2 Efemp1
SM-GE5UU_S026_E1-50,-57.4937515258789,0.650467289719627,16.0687503814697,-39.5125045776367,1.40869257519923,-69.1973447799683,Pvalb interneuron,Pvalb Sema3e Kank4
SM-GE4WC_S047_E1-50,-26.1625022888184,0.149137926147043,23.3625011444092,-25.9875011444092,3.18836049732109,-59.9311807805842,Sncg interneuron,Sncg Vip Nptx2
SM-GE91I_S062_E1-50,-51.9062538146973,0.417424854661407,11.0000009536743,-40.8125038146973,2.16698181806984,-66.6111880711147,Sst interneuron,Sst Calb2 Pdlim5
SM-GE4RS_S063_E1-50,-50.40625,0.253448269466441,18.4750022888184,-38.1312522888184,1.83507944082948,-67.0829423268636,Sst interneuron,Sst Chrna2 Glra3
SM-GE65Y_S132_E1-50,-40.53125,0.262499995231616,23.5000019073486,-27.7812519073486,2.88500156433534,-69.1459315906871,Lamp5 interneuron,Lamp5 Ntn1 Npy2r
SM-GE932_S008_E1-50,-39.40625,0.261428597103821,17.6875019073486,-37.8437538146973,3.26351587830856,-70.6248626708984,Vip interneuron,Vip Rspo4 Rxfp1 Chat
SM-GE67K_S128_E1-50,-35.6250038146973,0.127121858700806,41.625,-30.8125019073486,3.5805009416819,-64.2906708968313,Vip interneuron,Vip Ptprt Pkp2
SM-GE5TM_S102_E1-50,-46.1875,0.284999989564078,47.3125,-25.9062519073486,2.21222038420694,-73.9052359263102,Sst interneuron,Sst Tac2 Tacstd2
SM-GE4QZ_S180_E1-50,-42.6000022888184,0.284999999999999,23.8125,-31.3750019073486,3.304258473773,-72.4536224365234,Lamp5 interneuron,Lamp5 Plch2 Dock5
SM-GE8WI_S189_E1-50,-55.5562477111816,0.095,5.50000047683716,-44.9000015258789,1.9867426023732,-74.6331759366122,Sst interneuron,Sst Crhr2 Efemp1
SM-GE8X4_S108_E1-50,-46.09375,0.042914979656084,34.71875,-33.28125,2.80316610538756,-52.9737408955892,Vip interneuron,Vip Ptprt Pkp2
SM-GE8WX_S083_E1-50,-48.96875,0.169999998596736,40.75,-39.15625,2.2619607156519,-49.2706781114851,Sst interneuron,Sst Calb2 Pdlim5
SM-GE5UQ_S112_E1-50,-54.0437545776367,0.185,21.1875019073486,-36.2562484741211,1.74531759170068,-76.0505399703979,Sst interneuron,Sst Tac1 Htr1d
SM-GE4Q8_S065_E1-50,-54.5000038146973,0.168103440451421,36.6187515258789,-31.0500011444092,1.87664336697788,-65.4541759490967,Sst interneuron,Sst Esm1
SM-GE8XQ_S039_E1-50,-39.3812522888184,0.399999991825647,9.62500095367432,-28.6000022888184,2.20421595527893,-58.5331401824951,Sst interneuron,Sst Tac2 Tacstd2
SM-GE8WX_S047_E1-50,-54.0625038146973,0.290714285714286,40.84375,-36.2500038146973,1.8426817185547,-66.2898566506126,Sst interneuron,Sst Tac2 Tacstd2
SM-GE4Q2_S148_E1-50,-58.13750076293945,0.7749999999999996,24.400001525878903,-33.16250228881836,1.2306008086025129,-76.38503875732422,Pvalb interneuron,Pvalb Reln Itm2a
SM-GE5VJ_S056_E1-50,-47.84375,0.779999896240181,31.2437515258789,-22.4500007629395,1.33218807990044,-65.961667841131,Pvalb interneuron,Pvalb Reln Itm2a
SM-GE8XF_S044_E1-50,-49.9437522888184,0.598275862068966,23.8125,-23.53125,1.50300010149997,-64.0910699632433,Sst interneuron,Sst Rxfp1 Eya1
SM-GE8YB_S040_E1-50,-53.4500045776367,0.323684196577837,16.7312488555908,-39.8125,2.08811443307781,-71.493032282049,Sst interneuron,Sst Tac2 Tacstd2
SM-GE5O8_S038_E1-50,-45.5000038146973,0.295000010395046,44.2125015258789,-47.4874992370606,4.00302713313643,-74.3657234191895,Vip interneuron,Serpinf1 Aqp5 Vip
SM-GE5U8_S079_E1-50,-46.6937484741211,0.280000017738339,36.6187515258789,-30.6750011444092,2.27320783193316,-65.117189580744,Sst interneuron,Sst Rxfp1 Prdm8
